"year","zone","indicator","measure","value"
"2012","S01001799","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","280.1"
"2009","S01001799","Accidental Dwelling Fires Per 100,000 Population","Ratio",188
"2010","S01001799","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2011","S01001799","Accidental Dwelling Fires Per 100,000 Population","Ratio","186.2"
"2012","S01001799","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001800","Number Of All Fires","Count",0
"2009","S01001800","Number Of All Fires","Count",2
"2012","S01001800","Number Of All Fires","Count",2
"2011","S01001800","Number Of All Fires","Count",1
"2010","S01001800","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2011","S01001800","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","106.7"
"2009","S01001800","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","104.9"
"2012","S01001800","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001800","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001800","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2011","S01001800","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2012","S01001800","Accidental Dwelling Fires Per 100,000 Population","Ratio","107.5"
"2010","S01001801","Number Of All Fires","Count",5
"2009","S01001801","Number Of All Fires","Count",0
"2012","S01001801","Number Of All Fires","Count",2
"2011","S01001801","Number Of All Fires","Count",4
"2010","S01001801","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","380.2"
"2011","S01001801","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","98.4"
"2009","S01001801","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2012","S01001801","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","98.2"
"2009","S01001801","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001801","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2011","S01001801","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2012","S01001801","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001802","Number Of All Fires","Count",0
"2009","S01001802","Number Of All Fires","Count",0
"2012","S01001802","Number Of All Fires","Count",0
"2011","S01001802","Number Of All Fires","Count",2
"2010","S01001802","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2011","S01001802","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","240.1"
"2009","S01001802","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2012","S01001802","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001802","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001802","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2011","S01001802","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2012","S01001802","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001803","Number Of All Fires","Count",47
"2009","S01001803","Number Of All Fires","Count",16
"2012","S01001803","Number Of All Fires","Count",5
"2011","S01001803","Number Of All Fires","Count",4
"2010","S01001803","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","4055.2"
"2011","S01001803","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","395.3"
"2009","S01001803","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","1231.3"
"2012","S01001803","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",496
"2009","S01001803","Accidental Dwelling Fires Per 100,000 Population","Ratio","175.9"
"2010","S01001803","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2011","S01001803","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2012","S01001803","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001804","Number Of All Fires","Count",13
"2009","S01001804","Number Of All Fires","Count",17
"2012","S01001804","Number Of All Fires","Count",7
"2011","S01001804","Number Of All Fires","Count",11
"2010","S01001804","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","588.8"
"2011","S01001804","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","601.2"
"2009","S01001804","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","792.9"
"2012","S01001804","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","102.2"
"2009","S01001804","Accidental Dwelling Fires Per 100,000 Population","Ratio","297.3"
"2010","S01001804","Accidental Dwelling Fires Per 100,000 Population","Ratio","98.1"
"2011","S01001804","Accidental Dwelling Fires Per 100,000 Population","Ratio","100.2"
"2012","S01001804","Accidental Dwelling Fires Per 100,000 Population","Ratio","102.2"
"2010","S01001805","Number Of All Fires","Count",1
"2009","S01001805","Number Of All Fires","Count",1
"2012","S01001805","Number Of All Fires","Count",0
"2011","S01001805","Number Of All Fires","Count",1
"2010","S01001805","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","135.7"
"2011","S01001805","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001805","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2012","S01001805","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001805","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001805","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2011","S01001805","Accidental Dwelling Fires Per 100,000 Population","Ratio","143.3"
"2012","S01001805","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001806","Number Of All Fires","Count",4
"2009","S01001806","Number Of All Fires","Count",3
"2012","S01001806","Number Of All Fires","Count",0
"2011","S01001806","Number Of All Fires","Count",1
"2010","S01001806","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","684.9"
"2011","S01001806","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001806","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","518.1"
"2012","S01001806","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001806","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001806","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2011","S01001806","Accidental Dwelling Fires Per 100,000 Population","Ratio","160.8"
"2012","S01001806","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001807","Number Of All Fires","Count",1
"2009","S01001807","Number Of All Fires","Count",1
"2012","S01001807","Number Of All Fires","Count",0
"2011","S01001807","Number Of All Fires","Count",1
"2010","S01001807","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","126.6"
"2011","S01001807","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","118.1"
"2009","S01001807","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","127.2"
"2012","S01001807","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001807","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001807","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2011","S01001807","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2012","S01001807","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001808","Number Of All Fires","Count",20
"2009","S01001808","Number Of All Fires","Count",2
"2012","S01001808","Number Of All Fires","Count",3
"2011","S01001808","Number Of All Fires","Count",13
"2010","S01001808","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","2965.4"
"2011","S01001808","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","2316.6"
"2009","S01001808","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","322.6"
"2012","S01001808","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","573.6"
"2009","S01001808","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001808","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2011","S01001808","Accidental Dwelling Fires Per 100,000 Population","Ratio","193.1"
"2012","S01001808","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001809","Number Of All Fires","Count",5
"2009","S01001809","Number Of All Fires","Count",10
"2012","S01001809","Number Of All Fires","Count",5
"2011","S01001809","Number Of All Fires","Count",5
"2010","S01001809","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","102.2"
"2011","S01001809","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","96.2"
"2009","S01001809","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","203.3"
"2012","S01001809","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",96
"2009","S01001809","Accidental Dwelling Fires Per 100,000 Population","Ratio",813
"2010","S01001809","Accidental Dwelling Fires Per 100,000 Population","Ratio",409
"2011","S01001809","Accidental Dwelling Fires Per 100,000 Population","Ratio","288.5"
"2012","S01001809","Accidental Dwelling Fires Per 100,000 Population","Ratio","383.9"
"2010","S01001810","Number Of All Fires","Count",1
"2009","S01001810","Number Of All Fires","Count",0
"2012","S01001810","Number Of All Fires","Count",4
"2011","S01001810","Number Of All Fires","Count",2
"2010","S01001810","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2011","S01001810","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001810","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2012","S01001810","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","229.1"
"2009","S01001810","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001810","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2011","S01001810","Accidental Dwelling Fires Per 100,000 Population","Ratio",117
"2012","S01001810","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001811","Number Of All Fires","Count",1
"2009","S01001811","Number Of All Fires","Count",1
"2012","S01001811","Number Of All Fires","Count",0
"2011","S01001811","Number Of All Fires","Count",1
"2010","S01001811","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2011","S01001811","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001811","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2012","S01001811","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001811","Accidental Dwelling Fires Per 100,000 Population","Ratio","147.5"
"2010","S01001811","Accidental Dwelling Fires Per 100,000 Population","Ratio","150.4"
"2011","S01001811","Accidental Dwelling Fires Per 100,000 Population","Ratio","147.9"
"2012","S01001811","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001812","Number Of All Fires","Count",2
"2009","S01001812","Number Of All Fires","Count",1
"2012","S01001812","Number Of All Fires","Count",0
"2011","S01001812","Number Of All Fires","Count",3
"2010","S01001812","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","219.8"
"2011","S01001812","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001812","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2012","S01001812","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001812","Accidental Dwelling Fires Per 100,000 Population","Ratio","110.9"
"2010","S01001812","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2011","S01001812","Accidental Dwelling Fires Per 100,000 Population","Ratio","113.1"
"2012","S01001812","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001813","Number Of All Fires","Count",0
"2009","S01001813","Number Of All Fires","Count",7
"2012","S01001813","Number Of All Fires","Count",5
"2011","S01001813","Number Of All Fires","Count",3
"2010","S01001813","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2011","S01001813","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","423.7"
"2009","S01001813","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","981.8"
"2012","S01001813","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","706.2"
"2009","S01001813","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001813","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2011","S01001813","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2012","S01001813","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001814","Number Of All Fires","Count",0
"2009","S01001814","Number Of All Fires","Count",2
"2012","S01001814","Number Of All Fires","Count",0
"2011","S01001814","Number Of All Fires","Count",1
"2010","S01001814","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2011","S01001814","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001814","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2012","S01001814","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001814","Accidental Dwelling Fires Per 100,000 Population","Ratio","134.2"
"2010","S01001814","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2011","S01001814","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2012","S01001814","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001815","Number Of All Fires","Count",1
"2009","S01001815","Number Of All Fires","Count",3
"2012","S01001815","Number Of All Fires","Count",0
"2011","S01001815","Number Of All Fires","Count",0
"2010","S01001815","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","127.9"
"2011","S01001815","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001815","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","382.7"
"2012","S01001815","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001815","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001815","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2011","S01001815","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2012","S01001815","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001816","Number Of All Fires","Count",0
"2009","S01001816","Number Of All Fires","Count",2
"2012","S01001816","Number Of All Fires","Count",1
"2011","S01001816","Number Of All Fires","Count",1
"2010","S01001816","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2011","S01001816","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001816","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","94.5"
"2012","S01001816","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001816","Accidental Dwelling Fires Per 100,000 Population","Ratio","94.5"
"2010","S01001816","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2011","S01001816","Accidental Dwelling Fires Per 100,000 Population","Ratio",90
"2012","S01001816","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001817","Number Of All Fires","Count",10
"2009","S01001817","Number Of All Fires","Count",6
"2012","S01001817","Number Of All Fires","Count",2
"2011","S01001817","Number Of All Fires","Count",5
"2010","S01001817","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",1273
"2011","S01001817","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","729.9"
"2009","S01001817","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","722.5"
"2012","S01001817","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","300.8"
"2009","S01001817","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001817","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2011","S01001817","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2012","S01001817","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001818","Number Of All Fires","Count",1
"2009","S01001818","Number Of All Fires","Count",0
"2012","S01001818","Number Of All Fires","Count",0
"2011","S01001818","Number Of All Fires","Count",0
"2010","S01001818","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","134.4"
"2011","S01001818","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001818","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2012","S01001818","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001818","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001818","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2011","S01001818","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2012","S01001818","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001819","Number Of All Fires","Count",0
"2009","S01001819","Number Of All Fires","Count",1
"2012","S01001819","Number Of All Fires","Count",1
"2011","S01001819","Number Of All Fires","Count",1
"2010","S01001819","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2011","S01001819","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001819","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","97.3"
"2012","S01001819","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2009","S01001819","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2010","S01001819","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2011","S01001819","Accidental Dwelling Fires Per 100,000 Population","Ratio","99.6"
"2012","S01001819","Accidental Dwelling Fires Per 100,000 Population","Ratio",96
"2010","S01001820","Number Of All Fires","Count",2
"2009","S01001820","Number Of All Fires","Count",6
"2012","S01001820","Number Of All Fires","Count",3
"2011","S01001820","Number Of All Fires","Count",4
"2010","S01001820","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",120
"2011","S01001820","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","242.7"
"2009","S01001820","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","596.7"
"2012","S01001820","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","240.4"
"2009","S01001820","Accidental Dwelling Fires Per 100,000 Population","Ratio","119.3"
"2010","S01001820","Accidental Dwelling Fires Per 100,000 Population","Ratio",0
"2011","S01001820","Accidental Dwelling Fires Per 100,000 Population","Ratio","242.7"
"2012","S01001820","Accidental Dwelling Fires Per 100,000 Population","Ratio","120.2"
"2010","S01001821","Number Of All Fires","Count",0
"2009","S01001821","Number Of All Fires","Count",2
"2012","S01001821","Number Of All Fires","Count",1
"2011","S01001821","Number Of All Fires","Count",1
"2010","S01001821","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio",0
"2011","S01001821","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","178.6"
"2009","S01001821","Deliberate Fires (Excluding Chimney Fires) Per 100,000 Population","Ratio","178.3"
